id,property_type,neighborhood,original_price,sale_price,days_to_sell,agent
1,Apartment,Ballard,960908,933725,2,Sarah Moore
2,Condo,West Seattle,1288944,1223486,36,Mike Wilson
3,Apartment,South Lake Union,1459479,1692609,20,Sarah Davis
4,Apartment,South Lake Union,1402048,1499074,53,Jane Johnson
5,House,Beacon Hill,1411555,1432170,24,Jane Wilson
6,Apartment,Ballard,864533,998947,43,Mike Miller
7,House,Northgate,1417303,1508886,116,Lisa Wilson
8,Condo,Beacon Hill,1045064,1001719,96,John Miller
9,House,Beacon Hill,723162,749449,82,Mike Moore
10,Condo,South Lake Union,584030,670142,71,Sarah Wilson
11,House,Downtown,880399,983690,120,John Moore
12,House,South Lake Union,1277784,1201232,49,Laura Brown
13,Apartment,Beacon Hill,1417108,1555828,30,Laura Moore
14,House,Capitol Hill,575213,602105,8,Laura Smith
15,Condo,Capitol Hill,710218,643945,56,Tom Wilson
16,Condo,South Lake Union,678670,638841,68,David Davis
17,House,South Lake Union,1268299,1162656,25,Mike Smith
18,Condo,West Seattle,713691,841368,46,Mike Smith
19,Apartment,Capitol Hill,547842,644346,36,Emily Jones
20,House,Capitol Hill,790492,772362,41,Laura Taylor
21,House,South Lake Union,366361,439572,97,Mike Williams
22,Apartment,Northgate,493101,556647,105,Sarah Wilson
23,Apartment,West Seattle,1318748,1569581,110,John Jones
24,Condo,Beacon Hill,514481,531714,24,Chris Johnson
25,Apartment,West Seattle,877030,977821,119,Mike Davis
26,House,Capitol Hill,1248143,1419549,25,Tom Williams
27,House,South Lake Union,1482499,1548472,68,Tom Williams
28,Condo,South Lake Union,329589,367803,98,Jane Brown
29,House,West Seattle,795063,801140,4,Lisa Johnson
30,Condo,Beacon Hill,1237262,1456028,119,Mike Smith
31,Apartment,Capitol Hill,1202471,1229584,109,Mike Taylor
32,House,Downtown,560210,642320,114,David Johnson
33,Condo,Beacon Hill,1132572,1310824,24,Chris Taylor
34,Condo,Ballard,582755,612103,45,Chris Smith
35,Apartment,Downtown,421162,493317,86,Tom Jones
36,Condo,Downtown,1230528,1458525,85,Sarah Wilson
37,Condo,Downtown,667533,717880,91,Emily Davis
38,House,West Seattle,354205,364045,100,David Davis
39,Condo,Ballard,1149747,1368668,109,Sarah Johnson
40,Apartment,West Seattle,336272,346780,52,Mike Wilson
41,House,Northgate,341731,382694,119,Sarah Moore
42,Apartment,Northgate,1355044,1585776,77,Emily Smith
43,Apartment,Downtown,397040,361723,24,Laura Williams
44,Condo,Beacon Hill,934899,1016267,14,Laura Jones
45,House,West Seattle,307378,286375,31,Chris Taylor
46,House,South Lake Union,734451,772135,56,John Williams
47,House,West Seattle,1324076,1215928,108,Chris Miller
48,Condo,South Lake Union,1317265,1270576,81,Emily Smith
49,House,Northgate,973734,932287,46,John Wilson
50,House,Downtown,917399,1033772,49,Chris Brown
51,Apartment,Ballard,762863,728945,56,Sarah Taylor
52,House,Northgate,1318895,1261929,92,Laura Johnson
53,House,West Seattle,1331658,1241365,61,David Davis
54,Apartment,South Lake Union,1244115,1257503,48,Laura Miller
55,Apartment,Beacon Hill,1137707,1093006,109,David Davis
56,Condo,West Seattle,873709,825995,60,Sarah Moore
57,Apartment,Capitol Hill,1254301,1236620,95,Mike Moore
58,House,Beacon Hill,1112928,1282242,112,John Brown
59,House,Ballard,1494487,1589972,62,Mike Brown
60,House,Beacon Hill,1018422,1143860,5,Laura Smith
61,Condo,West Seattle,762902,864966,5,Mike Brown
62,House,South Lake Union,1364561,1265758,54,Lisa Smith
63,Condo,South Lake Union,1067582,1161460,3,John Wilson
64,Condo,South Lake Union,658471,634728,58,Emily Miller
65,House,Capitol Hill,1329051,1218069,117,John Brown
66,Condo,South Lake Union,1015811,1016846,40,Mike Davis
67,Apartment,West Seattle,726746,788035,65,Jane Wilson
68,Condo,Downtown,1218564,1272914,114,David Miller
69,Condo,Ballard,400159,395840,105,David Johnson
70,House,Northgate,671900,613207,118,David Wilson
71,Apartment,Downtown,1395739,1353597,15,Mike Williams
72,Condo,South Lake Union,1234224,1314624,110,David Williams
73,Condo,West Seattle,1402387,1362813,103,Sarah Moore
